movie_id,movie_title,title_year,movie_imdb_link,movie_imdb_id
90,Snatch,2000,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,tt0208092
91,Requiem for a Dream,2000,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,tt0180093
93,The Grand Budapest Hotel,2014,http://www.imdb.com/title/tt2278388/?ref_=fn_tt_tt_1,tt2278388
97,Spirited Away,2001,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,tt0245429
100,Once Upon a Time... in Hollywood,2019,http://www.imdb.com/title/tt7131622/?ref_=fn_tt_tt_1,tt7131622
103,Ratatouille,2007,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,tt0382932
105,A Clockwork Orange,1971,http://www.imdb.com/title/tt0066921/?ref_=fn_tt_tt_1,tt0066921
106,Prisoners,2013,http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1,tt1392214
107,The Hangover,2009,http://www.imdb.com/title/tt1119646/?ref_=fn_tt_tt_1,tt1119646
113,The Big Lebowski,1998,http://www.imdb.com/title/tt0118715/?ref_=fn_tt_tt_1,tt0118715
114,Inside Out,2015,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,tt2096673
116,Donnie Darko,2001,http://www.imdb.com/title/tt0246578/?ref_=fn_tt_tt_1,tt0246578
117,Slumdog Millionaire,2008,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,tt1010048
124,Black Swan,2010,http://www.imdb.com/title/tt0947798/?ref_=fn_tt_tt_1,tt0947798
125,Blade Runner,1982,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,tt0083658
127,The Imitation Game,2014,http://www.imdb.com/title/tt2084970/?ref_=fn_tt_tt_1,tt2084970
128,I Am Legend,2007,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,tt0480249
129,Knives Out,2019,http://www.imdb.com/title/tt8946378/?ref_=fn_tt_tt_1,tt8946378
130,City of God,2002,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,tt0317248
134,Arrival,2016,http://www.imdb.com/title/tt2543164/?ref_=fn_tt_tt_1,tt2543164
135,Gran Torino,2008,http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1,tt1205489
137,Full Metal Jacket,1987,http://www.imdb.com/title/tt0093058/?ref_=fn_tt_tt_1,tt0093058
139,Amélie,2001,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,tt0211915
140,American Psycho,2000,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,tt0144084
142,John Wick,2014,http://www.imdb.com/title/tt2911666/?ref_=fn_tt_tt_1,tt2911666
144,Sin City,2005,http://www.imdb.com/title/tt0401792/?ref_=fn_tt_tt_1,tt0401792
146,The Social Network,2010,http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1,tt1285016
147,Get Out,2017,http://www.imdb.com/title/tt5052448/?ref_=fn_tt_tt_1,tt5052448
148,Life Is Beautiful,1997,http://www.imdb.com/title/tt0118799/?ref_=fn_tt_tt_1,tt0118799
149,Shrek,2001,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,tt0126029
150,Dunkirk,2017,http://www.imdb.com/title/tt5013056/?ref_=fn_tt_tt_1,tt5013056
151,Edge of Tomorrow,2014,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,tt1631867
152,Heat,1995,http://www.imdb.com/title/tt0113277/?ref_=fn_tt_tt_1,tt0113277
155,Fargo,1996,http://www.imdb.com/title/tt0116282/?ref_=fn_tt_tt_1,tt0116282
157,12 Years a Slave,2013,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,tt2024544
158,Psycho,1960,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,tt0054215
160,2001: A Space Odyssey,1968,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,tt0062622
165,Silver Linings Playbook,2012,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,tt1045658
167,Skyfall,2012,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,tt1074638
168,Now You See Me,2013,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,tt1670345
169,1917,2019,http://www.imdb.com/title/tt8579674/?ref_=fn_tt_tt_1,tt8579674
170,Apocalypse Now,1979,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,tt0078788
171,Trainspotting,1996,http://www.imdb.com/title/tt0117951/?ref_=fn_tt_tt_1,tt0117951
174,Million Dollar Baby,2004,http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1,tt0405159
177,Drive,2011,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1,tt0780504
178,La La Land,2016,http://www.imdb.com/title/tt3783958/?ref_=fn_tt_tt_1,tt3783958
182,District 9,2009,http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1,tt1136608
184,Pan's Labyrinth,2006,http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1,tt0457430
185,The Curious Case of Benjamin Button,2008,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,tt0421715
186,Casino Royale,2006,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,tt0381061
188,Home Alone,1990,http://www.imdb.com/title/tt0099785/?ref_=fn_tt_tt_1,tt0099785
191,Groundhog Day,1993,http://www.imdb.com/title/tt0107048/?ref_=fn_tt_tt_1,tt0107048
192,Jaws,1975,http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1,tt0073195
194,The King's Speech,2010,http://www.imdb.com/title/tt1504320/?ref_=fn_tt_tt_1,tt1504320
196,Her,2013,http://www.imdb.com/title/tt1798709/?ref_=fn_tt_tt_1,tt1798709
